Name/ Year,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,,,
Two Wheelers,2776,NA,1630,1745,1598,1694,1498,1324,NA,613,706,743,526,608,459,463,584,301,325,325,270,214,194,218,121,104,59,67,93,78,69,56,47,59,32,44,57,80,55,61,64,NA,72,,,
Auto-Rickshaw,80,NA,112,154,185,197,200,207,830,100,95,96,99,142,68,65,99,63,70,50,NA,NA,NA,NA,35,11,21,NA,33,32,21,86,9,6,12,6,4,NA,16,31,NA,NA,2,,,
Car,1707,NA,1350,1453,1276,1026,1090,1123,120,738,768,862,752,643,628,609,699,523,1002,821,740,631,593,315,301,292,268,235,177,167,126,54,100,104,86,75,106,65,68,100,187,NA,115,,,
Jeep,123,NA,261,256,287,237,256,343,1067,424,284,255,433,235,229,175,293,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,64,74,10,50,28,29,28,36,15,31,29,40,NA,42,,,
Bus,327,NA,457,497,559,546,556,556,440,666,601,577,596,623,584,614,578,650,574,551,526,522,582,419,456,367,328,408,293,350,350,314,301,277,210,232,333,177,286,264,165,NA,284,,,
Truck,750,NA,792,768,817,864,998,997,593,1119,939,864,1098,1058,1055,1134,932,1002,1125,1149,1091,936,891,958,881,744,662,642,398,345,360,392,446,327,320,225,296,251,259,241,330,NA,173,,,
Tractor,90,NA,307,324,300,257,255,293,1043,339,601,343,388,316,188,271,229,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,78,71,59,78,89,55,42,61,96,52,89,88,35,NA,47,,,
Tempo,116,NA,239,205,238,251,274,312,332,232,215,209,256,237,315,287,269,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,19,NA,17,3,38,48,NA,NA,,,
Station Wagons,4,NA,NA,NA,NA,NA,NA,NA,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,255,272,220,242,158,151,128,68,NA,34,105,NA,38,NA,NA,NA,3,NA,7,17,26,11,NA,23,,,
Tractor with Trailors,173,NA,41,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,34,NA,NA,NA,NA,NA,NA,NA,NA,6,13,NA,NA,4,,,
Others,568,NA,1060,1442,1131,1251,1214,1358,793,1339,906,1259,928,737,820,811,1009,897,496,469,680,778,496,533,611,477,259,425,397,376,391,348,204,304,260,378,237,69,180,248,350,NA,127,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
