year,category,number
2005,Two Wheelers,608
2005,Auto-Rickshaw,142
2005,Car,643
2005,Bus,623
2005,Truck,1058
2005,Tractor,316
2006,Two Wheelers,526
2006,Auto-Rickshaw,99
2006,Car,752
2006,Bus,596
2006,Truck,1098
2006,Tractor,388
2007,Two Wheelers,743
2007,Auto-Rickshaw,96
2007,Car,862
2007,Bus,577
2007,Truck,864
2007,Tractor,343
2008,Two Wheelers,706
2008,Auto-Rickshaw,95
2008,Car,768
2008,Bus,601
2008,Truck,939
2008,Tractor,601
2009,Two Wheelers,613
2009,Auto-Rickshaw,100
2009,Car,738
2009,Bus,666
2009,Truck,1119
2009,Tractor,339
2010,Two Wheelers,NA
2010,Auto-Rickshaw,830
2010,Car,120
2010,Bus,440
2010,Truck,593
2010,Tractor,1043
2011,Two Wheelers,1324
2011,Auto-Rickshaw,207
2011,Car,1123
2011,Bus,556
2011,Truck,997
2011,Tractor,293
2012,Two Wheelers,1498
2012,Auto-Rickshaw,200
2012,Car,1090
2012,Bus,556
2012,Truck,998
2012,Tractor,255
2013,Two Wheelers,1694
2013,Auto-Rickshaw,197
2013,Car,1026
2013,Bus,546
2013,Truck,864
2013,Tractor,257
2014,Two Wheelers,1598
2014,Auto-Rickshaw,185
2014,Car,1276
2014,Bus,559
2014,Truck,817
2014,Tractor,300
2015,Two Wheelers,1745
2015,Auto-Rickshaw,154
2015,Car,1453
2015,Bus,497
2015,Truck,768
2015,Tractor,324
2016,Two Wheelers,1630
2016,Auto-Rickshaw,112
2016,Car,1350
2016,Bus,457
2016,Truck,792
2016,Tractor,307
2018,Two Wheelers,2776
2018,Auto-Rickshaw,80
2018,Car,1707
2018,Bus,327
2018,Truck,750
2018,Tractor,90
